"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"17/06/2023","395.299.008","394.497.984","398.800.000","381.000.000","0,02K","0,27%"
"16/06/2023","394.244.992","381.128.992","395.700.000","378.000.000","0,03K","3,44%"
"15/06/2023","381.128.992","376.015.008","382.508.992","373.100.000","0,03K","1,36%"
"14/06/2023","376.015.008","385.200.000","388.203.008","372.000.000","0,02K","-2,38%"
"13/06/2023","385.200.000","385.926.016","390.368.992","382.100.000","0,02K","-0,19%"
"12/06/2023","385.926.016","387.310.016","389.291.008","382.972.992","0,02K","-0,36%"
"11/06/2023","387.310.016","387.199.008","391.705.984","384.596.000","0,01K","0,03%"
"10/06/2023","387.199.008","393.900.000","394.278.016","380.000.000","0,03K","-1,70%"
"09/06/2023","393.900.000","394.211.008","397.244.000","392.000.000","0,02K","-0,08%"
"08/06/2023","394.211.008","392.159.008","397.000.000","390.000.000","0,03K","0,52%"
"07/06/2023","392.159.008","404.990.016","405.500.000","390.000.000","0,02K","-3,17%"
"06/06/2023","404.990.016","388.000.992","406.000.000","381.999.008","0,03K","4,38%"
"05/06/2023","388.000.992","405.508.000","405.620.000","382.742.016","0,04K","-4,32%"
"04/06/2023","405.508.000","404.448.000","408.664.992","403.999.008","0,01K","0,26%"
"03/06/2023","404.448.000","406.910.016","408.044.992","400.948.000","0,01K","-0,61%"
"02/06/2023","406.910.016","400.500.000","406.920.000","398.000.000","0,02K","1,60%"
"01/06/2023","400.500.000","407.459.008","408.739.008","398.318.016","0,02K","-1,71%"
"31/05/2023","407.459.008","413.963.008","413.964.992","403.000.000","0,02K","-1,57%"
"30/05/2023","413.963.008","415.401.984","417.497.984","413.004.000","0,03K","-0,35%"
"29/05/2023","415.401.984","418.895.008","422.283.008","413.000.000","0,03K","-0,83%"
"28/05/2023","418.895.008","400.748.000","419.020.000","400.748.000","0,04K","4,53%"
"27/05/2023","400.748.000","398.566.016","402.444.000","398.001.984","0,01K","0,55%"
"26/05/2023","398.566.016","395.924.000","400.000.000","393.536.992","0,02K","0,67%"
